utterance,intentions
no that is all i needed  thank you  bye,bye
hello can you tell me about some colleges in,requestarea
im looking for college attractions in the cambridge,select
yes please what area is that,informarea
yes i would like to book a train for cambridge on,requestleaveatarrivebydeparture
ill be departing from london liverpool street and id like to arrive by,offerbook
yes for five people,offerbookreference
no i believe thats everything for now thank you for all of your,bye
hello im looking for a place to stay in town id like a place with free parking and a 2 star rating,informareanameparkingstars
is it a hotel or,informnametypearea
thats fine can you book it for 2 people for 2 nights starting from,welcome
no thank you i appreciate all your,bye
can you help me find a place to stay that includes free wifi and doesnt need to have free,requestareapricerange
im looking for something cheap,recommendname
no thank you  i just need the name for,bye
id like to attend an architecture related attraction in the centre do you have anything of that,recommendareaname
yes that would be great can you also give me the phone number and entrance fee,informfeephone
what is the,informaddress
thanks  i am also looking for an expensive place to stay  ill need free,requestarea
lets try the centre of town,recommendpricerangenamearea
do it also have free,informparking
thank you i would like to book it for 8 people for 2 nights starting from,bookreference
great thank you so much for your help,welcome
no that is it thank,bye
i am looking for a restaurant serving scottish,informfood
ok how about vietnamese,informpricerangenamefoodarea
can i have the address,informaddress
thank,bye
i am looking for an attraction in the centre preferable a,informnamechoice
which one of those two is located in the,informnamechoiceaddressarea
can i get the address entrance fee and phone numbers for,informphonenamefeeaddress
i am also looking for an expensive place to eat around there can you offer a,recommendnamefoodpricerangearea
i would prefer european food  is there one in the area  please book a table for 2 at 1515  i need the phone number and postcode,recommendname
sure  first i need to know where the taxi should pick you,requestarrivebyleaveat
i need to leave the attraction by 2400 and i need a contact number and car type,requestdeparturedestinationleaveat
yes that is correct which is odd because i wont make my reservation but that is,informphonecar
that is it thank,greet
ok that is everything enjoy the rest of your,bye
i need to find a place called royal spice in cambridge  it is a restaurant can you help,informareaaddressphone
can you please provide the full,informaddresspostcode
i also need to find a train going to cambridge from birmingham new,requestdepartureleaveatarrivebyday
the train should leave on friday after,offerbook
i do not think i want to book at this time thank you for all your,greet
hi i need a train to go to norwich i need to leave after,requestdeparture
ill be leaving from cambridge on,select
sounds great can you buy me two,offerbookreferenceticket
yes what is there for,requestfood
did i say food sorry i meant places to go im looking for entertainment in the centre of,selecttype
yes lets try to find architecture instead can you recommend your favorite and tell me the,informfeetypeaddressname
great can i please have the address for all saints,informareaaddress
that is it for today thank you,bye
im trying to find the alexander bed and,informnameaddress
yes please there will be 7 of us and well be arriving thursday we want to stay 5,bookreference
thank you thats all i,bye
hello im planning my trip to cambridge and im trying to find a hotel called alphamilton guest house can you,informareapricerangetype
perfect will you please give me the address area and phone,informphoneareaaddress
i also need to know about a restaurant called sala,informfoodareapricerange
can you give me the phone number for sala,informphone
i also need to know the price range and,informareapricerange
nope thats all i needed thanks for the,bye
i am looking for a place to stay the hotel should include free parking and should be in the north part of,informnameparking
then find me a place that does suit my,informareaparkingpricerangename
is that a 4star,informstars
im fairly certain that it should show how many stars the hotel,informname
okay thank you what is the star,informstars
that will do can you give me the information about the,informphoneaddressstarsnameareapostcode
sounds good  would you like me to make your reservation if so ill need the dates you plan on,inform
oh silly me  i used to be in customer service  no i dont need a reservation  i am looking for places to go around there,requesttype
any kind whatever you recommend it should be located in the,informchoice
any kind that you recommend as long as it is located in the north i just need to know the attraction type of the one you recommend,requesttype
yes please find more information on the park and boat attractions in the,informtypefeenameaddress
that is enough for today thank,bye
i am looking for a place to stay that has free,requestareapricerange
indeed i do id like a hotel in the expensive price range thats on the west side of town the hotel should have a 4 star,informname
so thats a hotel and not a guesthouse and do they have free,informparkingtype
no thank you  i also would like a place to go in,requesttype
i am looking for a,requestarea
it doesnt matter pick one for me  ill just need the,recommendnameareafeeaddress
thanks now i just need a taxi to pick me up at 2200 from the huntingdon marriott and take me to clare hall ill need car type and contact,informphonecar
thank you that is it for,bye
are there any tables available to be reserved for 4 people on saturday,inform
yes reserve for 4 people at 1930 on,bookreference
im also looking for a museum to,requesttype
yes  can you recommend a,requestarea
doesnt matter to me its my folks who want to go what do you,recommendname
yes the phone number and entrance fee,informfeephone
yes can you arrange a taxi to take us from the gallery to the restaurant in time for our,informphonecar
no that is all i need today thank you so,bye
im looking for information on la,informfoodarea
great  can i book a table for lunch wednesday,requestpeople
i need a booking for 4 people at 1200 on,bookreference
i also need to get to norwich on thursday and i need to be there at or just before,requestdayleaveat
well thursday  have to get there from cambridge by,select
no thats all you can help me,bye
can you find information about,selectarea
location doesnt really matter  is there an entrance,informnamefee
club salsa sounds right up my alley can i get the address and phone number,informnameaddressphone
no thanks thats,bye
im looking for a place called,informfoodareaname
what is the price range there i can spend too much just,informfoodpricerangechoicearea
thats no problem  i also was interested in finding a train,requestdestinationdeparture
can you please check again from cambridge to broxbourne wednesday after,informtrainidleaveat
can you book 2 tickets for me,offerbooktickettrainid
great that was all i needed,bye
can you check for british food,informchoice
yes that would be,recommendnameaddress
yes please make a booking for 3 people at 1945 on,bookreference
yes i need a train on the same day from ely to,requestleaveatarriveby
i need the train to arrive to arrive by 1345  there will be 3 of us  can i get a reference,offerbook
can you book the 3 of us,offerbookticketreference
that is all i needed today thank,bye
where can i get swiss food in,informfood
how about indian food can i have the address and phone,informaddressnamefoodphone
no  thank you,bye
is there a restaurant called,informfoodarea
yes i would like to book a table for 7 people at 1800 on monday can you please be sure to give me the reference,bookreference
i also need to find a train departing from,requestdestination
we would need the train to leaver after,offerbook
yes please book for seven and i would like a reference number,offerbookticketreference
thank you that was,bye
hi there can you help me with my trip planning  i am trying to find a good place to,requestarea
i want it in the east area and i dont have have a length of,informchoicetype
are any of the guesthouses in the,informareaname
i am looking for information on a restaurant the name of the place is ask  can you tell me about,informaddressphonepostcode
what side of town are they,informarea
great thanks can i also get some information on hobsons house,informpricerangetype
could you provide me with their phone number and star rating,informphonestars
thank you id like to book a taxi from the hotel to the restaurant it needs to leave the hotel by,informcarphone
okay great bye,bye
that sounds perfect for what i am looking for can you tell me what type of attraction that is,select
uhno thanks can you help me find a train going to,requestleaveatdeparture
the train should leave after 0930  depart from cambridge and should leave on,informdestinationarrivebytrainidleaveat
that sounds fine how long will the travel time,offerbook
yes please book me a round trip ticket and can you locate a cheap,requestfood
no that is it thank,bye
hello  i need a train leaving from london kings cross on thursday  whats,requestleaveat
i am looking to go to cambridge and arrive by,informarrivebydaychoicedeparturedestination
whats the,offerbook
no no booking is necessary but thanks for the info thats all i,bye
i need a train leaving on saturday after 530,requestdeparturedestination
i am departing from stevenage and going to,requestleaveatarriveby
after 1730,informleaveat
the train should go to cambridge and should depart from stevens once you find the train you want to make a booking for 8,requestleaveat
i think i would be interested in the 1754 and i need to book it for 8,offerbooktrainidleaveatreferencepeopleticketday
im also looking for a restaurant that serves north american food in the expensive,recommendname
yes that would be great make it for saturday for 8 people at,booktimepeoplenamereference
thank you that is all i,bye
im looking for a particular restaurant called charlie,informfoodpricerangeareaname
i would like to book a table for 7 people at 1100 on,bookreference
great is there a cool place in the west we could check out maybe a,recommendname
no reservation needed but i would like the museum phone number,informphone
thats all for now thank you for,bye
hi there can i get some help finding a hotel or guesthouse,requestareapricerange
i need one in the moderate price range i would like one that doesnt have free,requeststars
no not in,requestarea
id prefer a guesthouse in the north,informchoicename
yes the aphamilton sounds nice try that one,requestdaypeople
there are 3 of us and were arriving on thursday wed like to stay for 4 nights if,bookreference
thank you thats all i need,bye
id like for a taxi to take me to autumn house from travellers,requestleaveat
i want to arrive by 0700 what time i leave is,informcarphone
can you tell me whats interesting to do on the south,informnametype
that sounds like fun can you tell me the phone,informphone
i also want to find an italian restaurant in the same,selectpricerange
ill take the cheap one i dont need to book but could you give me the,informnamepricerange
can i have the contact number for the,informphone
no thats all i needed today thanks for your help,bye
can you find me a,recommendname
yes and i need to know the entrance fee address and phone,informphoneaddress
i am also looking for a french restaurant in the expensive,informchoicenamearea
i am not sure how many people will be coming so i will do that later but can you provide me with their postcode and phone,informpostcodephone
no thats everything i needed today thank,bye
could you help me find a moderately priced place to,requestarea
no however i would like for the hotel to be 4 star and include free,informtype
could you check one more time  moderate free parking free wifi and 4,informtype
well i really need a hotel i will have 7 people including myself the location doesnt,selecttype
yes that would be fine as long as it meets the criteria it needs to be for 7 people 5 nights and start on,inform
yes i would like to make these,bookreference
id also like to book a train departing from cambridge on,requestdestination
i am going to peterborough and need to arrive by,offerbook
book for 7 people and give me the reference,offerbookticketreference
thank you thats all i need for,bye
im looking for el,informareanametype
yes i would love that i need to book it starting on saturday for 4 nights for 4,bookreference
yes i need a entrance fee and,requestarea
yes i am looking for a,requestarea
it doesnt matter pick one for me and ill need the area and entrance fee,informfeeareaname
thank you that is all for now thanks for your,greet
hello im looking for a place to stay id like it to be in the north and have zero,informname
do they offer free,informinternetparking
i would like you to pick one and tell em the adress and what type of room it is,informaddresstype
i dont think ill make that reservation just yet but can you help me find an expensive restaurant in the same areas as the,requestfood
yes please make sure it is chinese and expensive price,select
lets try hakka and can i get the reference number please,requestpeopledaytime
itll be 1 people at 1330 on,bookreference
no you have answered all my questions thank you very much good,bye
please help me find a restaurant that serves british food near the centre of,requestpricerange
i dont care about the,recommendnameaddress
no thanks but could i please have the,informpostcode
can you please tell me the phone,informphone
great thanks for all your,welcome
nope that covers all my needs,bye
hello im trying to find a restaurant called graffiti can you help me locate,informaddress
yes id like to book a table for 7 for sunday at,informname
no not really it just needs to be a,recommendname
that sounds like it might be great  how many stars does the ashley,informstars
i just need to get to the restaurant by the time the reservation,requestdeparture
please have the taxi pick me up at the hotel can i get the taxi contact number and car,requestleaveat
an hour after i arrive at the restaurant sounds about,informcarphonedeparturedestination
great thank you so much thats all i needed,welcome
no thats all i need thanks for the,bye
please fid me a place to go in the,requesttype
i would like to visit a nightclub in the centre can you provide me with entrance fee info and,recommendfeepostcodename
perfect thank you im also looking for information on hotels in the centre that have free wifi could you recommend,selectpricerangechoice
any will do whichever one you,recommendname
as long as this is a hotel it sounds great  can you give me the,informnametype
yes if you read the conversation above youll notice my second request was for a hotel id like one in the same area of the,recommendareaname
i just need their address,informaddress
thanks i also need a taxi to get between the hotel and the,requestleaveatarriveby
i want to leave the club by,informcarphone
that is all i will be needing today,welcome
i am planning a trip and would love some suggestions on a place to stay when i arrive in,requestarea
i can stay anywhere but i need the place to be expensive and have free wifi,informname
okay book the gonville hotel for 4 nights starting with sunday there will be 7,bookreference
yes i am looking for museums to visit in town do you have any,recommendareanamepricerange
great would you be able to give me the address and phone,informphoneaddress
thanks now id just like a taxi to depart from the attraction at 1515 and take me to gonville hotel please give me contact number and car,informphonecar
yes thats it for me thank you,bye
im looking for a museum to visit in the,informfeeareaname
yes please that would be,informpostcodeaddress
i also need a restaurant in the same area crossover food sounds,requestareafood
what else do you have that is,requestfood
hmmm im hungry for some portuguese food have anything like,informname
thank you please book a table for 8 people at 1400 on,bookreference
thank you,bye
hi im looking for a guesthouse thats in the expensive,requestpricerangetype
i need the place id like to stay to also include wifi is there,select
id prefer a cheap guesthouse instead that still offers,recommendname
yes please i would like to book a room starting wednesday for 5 people 2,bookreferencepeoplestayday
i also am looking for a,requestdestinationleaveat
i will be travelling from ely to cambridge on wednesday  and need to leave,requestpeopleleaveat
id like to leave after 1630,requestpeople
thank you i will not need the booking quite yet but i would like to have the price of the train as well,informticket
and what time does the train,offerbook
no thank you  thats all i need  thank you and,welcome
i need a train from kings lynn to go to,requestday
saturday and i want to leave sometime after 1330 leaving kings lynn and going to,offerbook
yes please book for one,offerbookreferenceticket
im also looking for a place to dine the restaurant should be in the cheap price range and should serve spanish,informchoice
yes please book for 1 at 1900 on,bookreference
that is all i need thank you good,bye
i am looking for a place to stay the hotel should have a star of 4 and should include free,informchoice
do you have one that is a,recommendname
book for  6 people and three  nights starting on,bookreference
can you confirm a and b guest house is in the moderate price range,informpricerange
okay now i would like to find a restaurant in the centre that is also in the moderate price,requestfood
yes what do you mean its down i need a place to,bookreference
ill need it to pick me up from the hotel and arrive at the restaurant at least 10 min before our,informcarphone
thanks im all set now,bye
i would like a moderately priced restaurant in the west part of,informpricerangechoiceareaname
what is the phone number and address of one of,informaddressnamephone
thank you,bye
,bye
this saturday i need to take a train from ely to cambridge  can you assist,requestarriveby
i want to arrive by,offerbook
please ill need 8,offerbookreferenceticket
yes i need a place to dine preferably in the centre and i would like it to have modern european,requestpricerange
the price doesnt matter whatever you recommend is fine as long as they have a table for 8 at 1530 on,recommendpricerangename
can you try again,requestpeople
there are eight of,informphone
thank you very much,bye
im looking for a train leaving on wednesday thats going to,requestdeparture
im leaving from ely to,requestleaveat
the last train sounds like it will work best can you book me 4 tickets for that one,offerbookreferenceticket
great i also need some information about the ruskin gallery,informtypeareafeename
phone number and address,informphoneaddress
nope thats all i need today thank you for all your,bye
i need to book a taxi departing from clowns cafe that should arrive by,requestdestination
i need to go to the,informcar
yes may i also have the contact number for they yellow,informphone
no youve already helped me with all i need at this time thank,bye
nope im,bye
can you find me a train from cambridge to,requestarrivebyleaveatday
id like to leave on wednesday and should arrive by,informarrivebyleaveatdeparturedestinationtrainid
what is the price of that,offerbook
yes i would like to book a seat on that train thank,selectpeople
yes also findme primaveras phone,offerbookreferenceticket
can i get their phone number,informphone
no that will be all thank,bye
i am looking for an attraction called cambridge,informphonepostcodefeetypenameareaaddress
thank you so,greet
could you help me find a train going to cambridge on,requestdeparture
i am leaving from kings lynn but i must be in cambridge no later than,select
that is good how much does it,offerbook
actually can you provide me with the travel time for that,informtime
thanks thats all i need today youve been a great,bye
im looking for a hotel in the expensive price range internet is not,requestarea
i need a place in the east,informname
um no thank you i think thats all i need for,welcome
no actually i do need to book the holiday inn cambridge as long as it has free,informinternetname
can we go ahead and book that for 5 people for 3 nights starting on,bookreferencedaystay
thanks do you know of any colleges near the,requestarea
how about a swimming pool in the same,informareanameaddress
can i get the entrance fee and phone number for the abbey pool,informphonefee
ok thats all i need,bye
how about a restaurant that serves british,selectpricerange
a moderate price range,informname
no i just need an address with postcode and phone,informpostcodephoneaddress
no you have been a great help thank,bye
is there such a train that leaves to cambridge might i include on a,requestdeparture
yes i want to leave from london kings,requestleaveat
i would like to leave on tuesday after,offerbookdestinationleaveattrainidarriveby
thank you im also looking for a place to stay it should a hotel of 0 stars and in the cheap price range it should include free,requestarea
any part of town is,informareatypechoice
we will figure something out thanks for your help,bye
i want to find an expensive restaurant in the,recommendname
does it serve unusual food thats what im looking,informnamefood
how about chinese,recommendfoodpricerangename
can you book it for me and get a reference number,greet
you know what im not quite sure when i want to go ill just take the address postcode and phone,informaddresspostcodephonename
yes is the aylesbray lodge guest house still in operation i stayed there the last time i was in town years ago and enjoyed,greet
no i just want to book a room can you help me with,greet
i would love it if you could reserve a room for friday for 1 person for 3,greet
thank you i just need the reference number for the reservation thats all i need,bookreference
no thank you for your,bye
i want to book a taxi the taxi should depart from la margarita and should go to riverboat,requestarriveby
i would like to arrive by,informcarphone
no that is all i need today,bye
i am looking for a restaurant to book a reservation i want asian oriental in the expensive price,select
lets try the one on the north side of town id like to make reservations if,requestdaytimepeople
i would like the reservation for 5 people at 1845 on,bookreference
thanks so much can you also help me look for a,requestdestinationdeparture
i need to get to cambridge from peterborough by 1315 on the the same day as my,offerbook
yes please i need 5,offerbookticket
no that is all for today thank you so much for your,bye
what have you got on the west side in the way of places to stay offering free,requesttype
that doesnt matter to me but i do want to make sure i stay somewhere with free,recommendnamestars
yes could you tell me the postcode and the price,informpostcodepricerangename
that would be fine i also need a train that leaves after 2130 on,requestdestination
i will go to londons kings crossing from,informdaychoicedestinationdepartureleaveat
that would be just fine can you book that for 6,offerbooktickettrainidreferencepeople
thank you thats all i need,bye
hello  can you book a taxi for me  i need to travel from the grafton hotel restaurant to home from,requestleaveatarriveby
leave after 2230 and dont care when i,informcarphone
thank you that will be,bye
hi i am looking for a train to cambridge that leaves after,informtrainidleaveat
great can you please boo that for,offerbookreferencepeople
actually i would need 2 tickets for that,offerbookreference
fantastic  can i also get information about clare,informtypeareaname
yes what is the entrance fee for clare,informfeename
no that is all i need thank you,bye
i am planning a trip to cambridge on a train i want to leave form bishops stortfordcan you help me with,requestarrivebyday
i would like to travel on saturday arriving at,offerbook
no need to book it for me i can do that but can you tell me the travel time in,informtime
i am also looking for a attraction called queens college can you get me information on,informaddressphonefee
great and what is the postcode and attraction,informtypepostcode
that is all i need today thank,bye
can you help me find a train going to peterborough with a departure time after,requestdeparture
my departing is from,requestarriveby
no i do not have an arrival,informtrainid
what time does that leave i would like to make a,informleaveat
yes can you please book it for 7,offerbookreferenceticket
are there any theatres in,recommendnameaddress
give me the entrance fee and area of any theater,informareafeenameaddress
no thank you have a nice day,bye
hello i am looking for a restaurant that serves african,informfoodareaname
what are the address and postcode,informaddressnamepostcode
thats all,bye
yes i hope so  are there any chinese restaurants toward the east end of,informchoicename
great can you book a table for 1 at 1930 on,bookreference
i think that takes care of everything,bye
i am looking for a train on friday to,requestdeparture
yes ill be departing from peterborough and it needs to arrive by,informarrivebytrainid
yes please book me tickets for 5,offerbookreferenceticket
i could use some help finding a museum to,requestareatype
im open to just about anything  whats your,recommendfeeaddressname
which area is it in and can you also give me the post,informnameareapostcode
no you have been a great help thank you good,bye
i would like to find a particular restaurant in cambridge the name of the restaurant is restaurant two two  could you give me the,informfoodaddressname
that would be great i need it for 8 on,requesttime
yes at  1115 if thats not available i can do,bookreferencetime
thanks can you help me find a train too i want to leave cambridge some time after,requestdestination
i need the train should go to peterborough and it should leave on,informarrivebytrainidtimeleaveat
that sounds fine  can i get tickets for my whole group,offerbookticketreference
thanks so much thats all i needed for,bye
id like to get to cambridge by train but im afraid i need to travel on sunday will that be,requestdeparture
i am leaving from,requestleaveatarriveby
can you get me one thatll arrive by,offerbook
yes please  i need 2,offerbookreferenceticket
perfect thank you im also looking for a guesthouse in the area preferably in the north do you have an option that has free,recommendname
sure please book for 4 nights starting on the same,inform
thank you so much  can i get the reference number also,requestpeople
2 people 4 nights for,bookreference
no thanks a bunch,welcome
heya can you find me an expensive restaurant with north african,select
are there any expensive restaurants with gastropub,select
yes the one in the east,informname
that was all thank,bye
hello im looking for information about restaurants in cambridge they should be located in the centre and ser gastropub,selectpricerange
just a gastropub located in the center for 8 people at 1200 on wednesday,requesttime
how about at 1100,bookreferencedaytimenamepeople
excellent im also looking to book a train,requestdestination
ill be coming to cambridge from broxbourne on the same day as the restaurant booking,offerbook
yes please book 8 tickets on the last train to arrive before,offerbookticket
okay thank you  that is all i,bye
thank you thats all i,bye
help me find a train that leaves after 0945 on,informtrainidleaveat
does it depart from,offerbook
yes please make a booking for 5,offerbookreferenceticket
thank you i am also looking for a place to stay it needs to be cheap and in the,recommendname
okay would you be able to make a reservation for me for 4 nights for 5 people starting,informinternet
hello im looking for a restaurant that serves modern european food id also like it to be located in the centre if,requestpricerange
moderate would be,select
yes please  you can make a recommendation  book for 6 people at 1230 on wednesday and please proved the reference,bookreferencename
yes can you help me to find a train into cambridge for,requestdeparture
thank you that is all that i,bye
im looking for a train that departs from cambridge on,requestarrivebydestination
i need to go to broxbourne and i need to leave after,offerbook
yes and my two companions,offerbookreferencetickettrainid
yes id like to find a restaurant in the centre area,requestfood
id like it to be vegetarian and im looking for something,recommendchoicefood
i suppose that,requestarea
i would prefer it in the centre of town,select
what is the postcode for the curry,informnamepostcode
thank you that is all i,bye
i am looking for an attraction focused on,informfeeareaname
can i get the postcode for it as well,informpostcode
thanks are there any guesthouses nearby its okay if it doesnt include,informareaparkingpricerangenametypeinternet
that hotel sounds good to me thank,bye
i need a place to dine on crossover food it should be in the,requestfood
what about african,informchoicename
i would thanks i need a table for 6 on sunday at,bookreference
ok could you also give me some information about the aylesbray lodge guest,informtypeinternetparkingstarspricerangearea
would you be able to book one of those for me,requestday
the six of us will be arriving on,requeststay
i will need to stay 4 nights,bookreference
its just me is that necessary,informarrivebycarphonedestination
you have been a great help thank you so much have a wonderful day and keep up the great work,bye
i am looking for a place to stay the hotel should have a star of 3 and should be in the moderate price,requestarea
im not too particular about which particular area i say in but i do need free,informpricerangenametypeparkingstars
no i just need the address,informaddress
thats all i need thank,welcome
thanks thats all good,bye
hi i was wondering if there were any swimming pools in the centre of,informphonenamepostcodeaddress
thanks for giving me the address and phone number already how much is the entrance,informfeename
thats ok i need a train departing from stevenage on,requestleaveat
i would like to arrive by,informchoicearrivebytrainid
that will be okay please book it for,offerbookreferenceticket
that should do it thank,bye
i would like the departure time for the train please i never got,informleaveat
no you have been very helpful thank,bye
thats all thank,bye
im looking for a moderate priced place to dine serving modern european,requestarea
im looking for someplace in the center of,select
well i would like modern european food and the prices to be moderate do either of these restaurants match those,select
i would like it to be in the same area,requesttype
you can recommend anything as long as it is in the same area as the,recommendname
please and the entrance fee as,informfeeareaphonepostcodenametypeaddress
leave the attraction by,requestdestination
im going to de luca cucina and,informphonecar
have a nice,bye
are there any modern european restaurants in the,requestpricerange
yes i would like something in the expensive price range,informpricerangenamefood
that would be great could you book me a table for 4 on monday at,bookreference
great thank you  can you also help me find a train departing from bishops stortford for the same,requestleaveatarriveby
i would like to arrive in cambridge by 1500,requestleaveat
i think ill go with whichever one is latest can i have the price and departure time for that train,informtimeleaveatdeparturearriveby
okay thanks can you please give me the,informticket
that will be all,bye
i need a train out of cambridge after,requestdestination
id like to get to london kings cross on,informleaveattrainid
yes please book it for 5,offerbookreference
can you locate a starbucks coffee near the train station in london kings,informchoice
i am also looking for a cheap place to stay that has,requestarea
it doesnt matter but i want it to be zero,informstarsname
which one of those is the,informpricerange
ok please book el shaddai for 5 people and 4 nights starting,bookreference
that is all i need today thank you for your,greet
can you help me get a train going to bishops,requestarrivebyleaveat
i need to leave cambridge after 945 on,offerbook
that sounds good i need it for 4 people on thursday,offerbookreferenceticket
yes please im looking for a theatre in the,informchoice
yes that would be great thank,recommendname
yes can you get me the entrance fee,informfee
is there a number i can call to get the entrance fee,informphone
what is the entrance,informfee
id like to dine at a restaurant in the west part of town can you help me find,selectpricerange
moderately,informpricerangenamefood
yes please give me the phone number and address of it,informphonenameaddressarea
no thank you,bye
,bye
i am leaving on saturday and going to birmingham new,offerbook
thatll work how much does that cost and how long does it take to get into birmingham new,offerbook
no i will just buy my ticket at the station  thanks  can you help me find a,informchoice
is there anything in the city centre that sells afghan,requestfood
yeah how about modern,selectpricerange
moderate would be fine but any of them will do as long as i can get in today at,informname
sure lets try de luca cucina i want to reserve a table for 1 person on saturday at 1745 i will need you to give me a reference,bookreferencedaytimepeoplename
that is all i needed thank you good,bye
no that will be all thank,bye
can you please help me find guesthouses that offer free parking in,informchoice
i need it to include free wifi,requestpricerange
no matter could you make a recommendation i will need a room for 1 for 5 nights starting,recommendnamearea
yes im looking for an expensive chinese,requestarea
no but i need the,informaddressareaname
i want to  book a taxi to commute between the two,requestleaveat
i want to leave the hotel by,informphonecar
no am ok,welcome
thank you that was all i,bye
thank you youve been a big help,bye
please help me find a guesthouse or hotel that has free parking  i prefer a guesthouse,requestarea
that could be anywhere book for me  for 3 people and 4 nightsstarting from,recommendname
okay sounds good can you make a booking for 3 people and 4 nights starting from,bookreference
ive got another request i need assistance with please i am looking to stansted airport via train and need help booking it,requestday
i will travel on,requestdeparture
departing from,requestarrivebyleaveat
i want to leave cambridge after,requestarriveby
i need to leave after,offerbook
yes if you can book it for three people please i will need the reference,offerbookpeoplereferenceticket
i need a taxi to take me to my hotel today from saint catharines,requestdestination
i am staying at rosas bed and,requestleaveatarriveby
i should leave after,informcarphone
nothing else thank you ill keep an eye out for the red ford,bye
absolutely i need a table for 4 on thursday at 1100,bookreference
thank you for the reference number  im also looking for places to go in the south side of,recommendtypename
thanks will you give me an entrance fee for the,informfeename
no thats okay ,bye
can you set up a taxi for me that will take me to williams art and,requestdeparture
im departing from cambridge museum of,requestleaveatarriveby
i need to leave after,informcarphone
that would be all thanks a,bye
thats alright how about chinese,requestpricerangearea
i need it to be in the moderate range,informchoice
cool which one is the,recommendname
no thanks i would like the area address and postcode please and i will take it from,informaddressareapostcodename
i also need a train from cambridge to,requestday
i need to leave monday and arrive by,offerbook
yes that should work how much will that,requestpeople
that is all i need today thank you for your,bye
can you help me find a hotel called alphamilton guest,informaddress
can you book me a reservation for four people for four nights starting,bookreference
thank you very much for your help and have a great,bye
im coming to cambridge to visit and id like to try some chinese food in the centre can you help me,requestpricerange
i would like a restaurant in the moderate price,informpricerangenameareafood
i dont need a reservation right now but if you could give me the phone number postcode and address that would be,informphonenameaddresspostcode
i am interested in some attractions in the centre as well  what is,informtypechoice
can you recommend a,informareaname
sure what is the,informnamepostcode
yes could you help me book a taxi from jinling noodle bar to adc please i would like it to arrive at the restaurant by,informphonedeparturecarleaveat
great that is everything i needed,bye
sure no problem bye,bye
hello could you help me with finding a restaurant called the lucky,informaddressname
yes please reserve table for five at monday on 1115 and get me the reference,bookreference
i also need a moderate priced hotel with free parking to stay,requestarea
no particular town but a guesthouse with free wifi is,requeststars
i do,recommendname
and can i ask what star rating that has before i book i actually realized i might,informstars
yes thank you for your,bye
i would like to visit something like a museum no specific part of,recommendname
that sounds great can i please have the phone,informphone
yes i need to find a guesthouse prefer with a 4 star,requestarea
if you could just pick one it does not have to have free parking maybe close to the broughton house,informstarsname
that sounds great could i get the area and phone number of the bed and,informareapostcodephone
nope thatll be it,bye
i need to find a swimming pool in the,informareanametypechoice
kings hedges sounds good what postcode are they in and do they have an entrance,informnamepostcodefee
id like to know if i can book a reservation for 7 people at 1800,selectareaname
either one will work i just need to book for 7 people at 1800 on,requestdaytime
how about,booktimenamepeople
great i also need a taxi that will get me from the pool to the restaurant by,informphonecar
great that was all i needed today thank,bye
im looking for this particular hotel called carolina bed and,informpostcodeareaaddress
yes i would love to book for 2 nights 2 people starting from,bookreference
thank you is there a museum close by that we could,select
can you give me the address of cambridge,informaddress
yes i need a taxi to get between the two places,requestdeparture
id like to leave from the hotel by 2145,informcarphone
no that seems to cover everything for me  thank you for all of your,bye
please help me find a train from kings lynn to,requestleaveatday
friday i need to arrive by,informarrivebytrainid
ok that sounds good can i please book 2 tickets and ill need a reference number,offerbookreference
yes please  i would like to visit a museum while i am in,informname
is it in the west  i need something in that,recommendareaname
could i get the phone number and postcode of that,informpostcodenamephone
yes may i have the address,informnameaddress
that is it i am good now thanks,bye
you too,bye
i am looking for a place to eat that is,requestfood
id like some italian,recommendnamepricerangeareafood
yeah can i get one for 8 people on friday at 1430,inform
yes i definitely need the reference number thank,bookreference
well now that youve asked i would like some information about the kirkwood house,informinternetparkingpricerange
yes i nee to book a room friday for 3 nights 8 people ill also need a reference,bookreference
i also want a taxi to commute between the two,requestdeparturedestinationarrivebyleaveat
have the taxi pick us up at the kirkwood house at 1400 and at the restaurant at,informphonedestinationleaveatcardeparture
sweet thanks a lot for your,bye
i would like a place to eat in the expensive price,requestfood
im not too picky could you make a suggestion one in the,recommendnamepricerangeareafood
not now please get me the address postcode and food,informphoneaddresspostcode
thank you yes i need the phone number for kings hedges learner,informphone
i also need the entrance fee and,informfeepostcode
that is all i need thank,welcome
thanks for helping have a good,bye
i am looking for a train to,requestday
i need to leave a little after 800 on sunday and im leaving from,informleaveattrainid
that will have to work what is the arrival,informarriveby
perfect thats all i needed to know thanks have a great,bye
thank you thats all i,welcome
what about one in the moderate price,requestinternetparking
yes i do need the free,recommendname
yes that would be good can you just let me know the star rating of the hotel whether they have free parking and address,informnameaddresstypeparkingstars
i also need to find a train for friday going to cambridge from norwich and leaving after,offerbook
no that will be all thank,welcome
nothank you for your,bye
hey there i need a train from stevenage that leaves after 0945 can you,requestdestinationday
we are going to cambridge and would like to leave on monday after 0945  thanks for your,selectleaveat
that sounds great  could you give me the arrival time travel time and train id as,offerbook
maybe later i am also looking for an expensive,requestfoodarea
no ill take your recommendation i do need postcode address and phone number,recommendphonepostcodeaddressname
no that would be all thanks,bye
im looking for a train departing from,requestdestination
i am heading to,informleaveattrainid
i will need to arrive by,requestday
